race_no,lane,crew_name,affiliation,category
16,1,ペンタB&W,PENTA ROWING CLUB(Jr.),I
16,2,浜寺マスターズクラブ78,浜寺マスターズクラブ,I
16,3,ボート団塊号 澄川,ボート団塊号 (だんかいごう),I
16,4,名古屋大学艇友会,名古屋大学艇友会DE,I
16,5,ボート団塊号 緋青,ボート団塊号 (だんかいごう),I
17,2,稲門ミドル,稲門艇友会 稲門ミドル,G
17,3,佐鳴漕友会,佐鳴漕友会(静岡大学),G
17,4,パルテG,パルテ会,G
17,5,ボート団塊号 白河,ボート団塊号 (だんかいごう),G
18,2,ボ~っとクラブ,日本製鉄株式会社八幡ボート部,D
18,3,魚崎ローイングクラブ,魚崎ローイングクラブ,D
18,4,御殿浜ランナーズ,御殿浜ローイングクラブ,D
18,5,富士山ローイングクラブ,富士山ローイングクラブ,D
19,1,那谷(魚崎ローイングクラブ),魚崎ローイングクラブ,G
19,2,武良(四神会),四神会,G
19,3,高山(医王会ローイングクラブ),医王会ローイングクラブ,G
19,4,高橋(魚崎ローイングクラブ),魚崎ローイングクラブ,G
19,5,清水(小野湖ローイングクラブ),小野湖ローイングクラブ,G
19,6,座光寺(櫂朋会),櫂朋会,G
20,2,愛知東郷ボートクラブ,愛知東郷ボートクラブ,B
20,3,キラーホエール,キラーホエール,C
20,4,浜寺マスターズアマゾネス,浜寺マスターズクラブ,C
20,5,パルテC,パルテ会,C
21,2,パルテG,パルテ会,G
21,3,秀司と浩巳2026,鵬RC,G
21,4,桜艇会,学習院桜艇会,G
21,5,深井・山本ペア,PENTA ROWING CLUB(Jr.),G
22,1,小倉(白山工業ローイングクラブ),白山工業ローイングクラブ,E
22,2,村上(魚崎ローイングクラブ),魚崎ローイングクラブ,E
22,3,谷(三菱重工高砂),三菱重工高砂,E
22,4,山児(太田川ボートクラブ),太田川ボートクラブ,E
22,5,多田(魚崎ローイングクラブ),魚崎ローイングクラブ,E
23,3,E.R.C.C W2X D,E.R.C.C,D
23,4,インテック武良土井,インテック,D
24,2,服部(多摩川ローイングを楽しむ会),多摩川ローイングを楽しむ会,F
24,3,松本(松江ローイングクラブ),松江ローイングクラブ,F
24,4,奥村(加賀梨RC),加賀梨RC,F
24,5,山本(パルテ会),パルテ会,F
25,2,ボート団塊号 大心,ボート団塊号 (だんかいごう),E
25,3,九州照葉ローイングクラブ,九州照葉ローイングクラブ,E
25,4,一橋四神会白虎,四神会,E
26,2,宮ヶ瀬 早戸,ボート団塊号 (だんかいごう),H
26,3,ボート団塊号 高杉,ボート団塊号 (だんかいごう),H
26,4,名古屋・君津連合,名古屋ローイングクラブ,H
27,2,新貞山ローイングクラブ,新貞山ローイングクラブ,G
27,3,名島1,関東名島会,G
27,4,一橋四神会青龍,四神会,G
27,5,瀬田漕艇クラブ,瀬田漕艇クラブ,G
28,1,九州照葉ローイングクラブ,九州照葉ローイングクラブ,C
28,2,緑悠会苗場,新潟大学漕艇部 緑悠会,C
28,3,でん助,でん助・でん子,D
28,4,パルテE,パルテ会,E
28,5,RCF クオド,レガッタクラブフレンドシップ,E
29,1,魚崎ローイングクラブ,魚崎ローイングクラブ,J
29,2,多摩川RC(岡井・柴原),多摩川ローイングを楽しむ会,J
29,3,諏訪マスターズ,諏訪マスターズ,K
29,4,小野湖ローイングクラブ,小野湖ローイングクラブ,K
29,5,一橋四神会長煙,四神会,L
29,6,一橋四神会雄飛,四神会,M
30,3,ちばるたん,ちばるたん,A
30,4,ミネベアミツミ,ミネベアミツミ,B
31,2,ペンタフォア,PENTA ROWING CLUB(Jr.),F
31,3,瀬田漕艇クラブ,瀬田漕艇クラブ,F
31,4,WITH YOU 海鷹,WITH YOU,F
31,5,矢切ローイングクラブ,矢切ローイングクラブ,F
32,1,医王会ローイングかもめ,医王会ローイングクラブ,A
32,2,パルテB,パルテ会,B
32,3,ばらとDRCマスターズ,ばらとDRCマスターズ,B
32,4,多摩川RC(C),多摩川ローイングを楽しむ会,C
32,5,キラーホエール,キラーホエール,C
32,6,浜寺マスターズアマゾネスA,浜寺マスターズクラブ,C
33,1,伊藤(新潟大学漕艇部 緑悠会),新潟大学漕艇部 緑悠会,A
33,2,カストロ(湖猿ローイングチーム),湖猿ローイングチーム,Aパラ
33,3,古川(愛知東郷ボートクラブ),愛知東郷ボートクラブ,A
33,4,萩原(ばらとDRCマスターズ),ばらとDRCマスターズ,A
33,5,奈良(日本製鉄),日本製鉄,A
33,6,惣島(橙紺会659),橙紺会659,A
34,2,愛知東郷ボートクラブ,愛知東郷ボートクラブ,C
34,3,緑悠会佐渡,新潟大学漕艇部 緑悠会,C
34,4,浜寺マスターズクラブ47,浜寺マスターズクラブ,C
34,5,前川RC,前川ローイングクラブ,C
35,1,パルテG,パルテ会,G
35,2,愛知東郷ボートクラブ,愛知東郷ボートクラブ,G
35,3,RC神戸,RC神戸,G
35,4,WKマスターズ GLORY,WKマスターズ,G
35,5,駿台艇友会,駿台艇友会,G
36,1,ボート団塊号 朱雀,ボート団塊号 (だんかいごう),G
36,2,三菱 G8+,三菱ボートクラブシニア,G
36,3,大阪公立大学紅臙会シニア,大阪公立大学紅臙会,G
36,4,ばらとDRCマスターズ,ばらとDRCマスターズ,G
36,5,櫂朋会エイト,櫂朋会,G
37,2,ワイルドローバーローイングクラブ,ワイルドローバーローイングクラブ,G
37,3,矢切ローイングクラブ,矢切ローイングクラブ,G
37,4,ペンタエイト,PENTA ROWING CLUB(Jr.),G
37,5,一橋四神会G,四神会,G
38,2,キャメロン(浜寺マスターズクラブ),浜寺マスターズクラブ,F
38,3,瀬村(魚崎ローイングクラブ),魚崎ローイングクラブ,F
38,4,小川(魚崎ローイングクラブ),魚崎ローイングクラブ,F
38,5,但野(魚崎ローイングクラブ),魚崎ローイングクラブ,F
39,1,安達(瀬田漕艇クラブ),瀬田漕艇クラブ,J
39,2,栄(WKマスターズ),WKマスターズ,K
39,3,伊藤(四神会),四神会,K
39,4,坂本(小野湖ローイングクラブ),小野湖ローイングクラブ,K
39,5,馬上(三菱ボートクラブシニア),三菱ボートクラブシニア,L
39,6,田口(三菱ボートクラブシニア),三菱ボートクラブシニア,N
40,2,三菱 WG4X+,三菱ボートクラブシニア,G
40,3,瀬田漕艇クラブ,瀬田漕艇クラブ,G
40,4,三菱 WH4X+,三菱ボートクラブシニア,H
41,1,多摩川RC(H),多摩川ローイングを楽しむ会,H
41,2,碧水会,碧水会,H
41,3,一橋四神会H,四神会,H
41,4,名古屋大学艇友会,名古屋大学艇友会DE,H
41,5,宮ヶ瀬,ボート団塊号 (だんかいごう),H
42,2,WKマスターズ,WKマスターズ,H
42,3,濃青会鶴見川銀閣,濃青会鶴見川,H
42,4,瀬田漕艇クラブ,瀬田漕艇クラブ,H
43,2,九州照葉ローイングクラブ,九州照葉ローイングクラブ,D
43,3,医王会ローイングエイトB,医王会ローイングクラブ,D
43,4,瀬田漕艇クラブ,瀬田漕艇クラブ,D
44,2,一橋四神会女子部,四神会,A
44,3,多摩川RC(D),多摩川ローイングを楽しむ会,D
44,4,RC神戸 国すぎて方!,RC神戸,D
45,2,浜松ボートクラブ佐鳴会,浜松ボートクラブ佐鳴会,D
45,3,メンテックRC,メンテックRC,D
45,4,蔵前漕艇クラブH7,蔵前漕艇クラブH7,D
45,5,医王会ローイングエイトA,医王会ローイングクラブ,D
46,2,日曜クラブ,ボート団塊号 (だんかいごう),F
46,3,RC神戸,RC神戸,F
46,4,浜寺マスターズクラブ63,浜寺マスターズクラブ,F
46,5,小野湖ローイングクラブ,小野湖ローイングクラブ,F
47,2,三菱 F4X+,三菱ボートクラブシニア,F
47,3,ばらとDRCマスターズ,ばらとDRCマスターズ,F
47,4,瀬田漕艇クラブ,瀬田漕艇クラブ,F
47,5,パルテF,パルテ会,F
48,1,名古屋・君津連合,名古屋ローイングクラブ,H
48,2,佐賀大学楠漕会,楠漕会,H
48,3,濃青会鶴見川銀閣,濃青会鶴見川,H
48,4,大阪工業大学重吹会,大阪工業大学重吹会,H
48,5,名古屋大学艇友会関西,名古屋大学艇友会関西,H
49,2,高田(中川運河ローイングクラブ),中川運河ローイングクラブ,D
49,3,郡(香川RC),香川RC,D
49,4,佐藤(中川運河ローイングクラブ),中川運河ローイングクラブ,D
49,5,後神(黄門ローイングクラブ),黄門ローイングクラブ,D
50,1,今城(瀬田漕艇クラブ),瀬田漕艇クラブ,E
50,2,水野(関東楠漕会),関東楠漕会,E
50,3,田中(中川運河ローイングクラブ),中川運河ローイングクラブ,E
50,4,石原(愛知東郷ボートクラブ),愛知東郷ボートクラブ,E
50,5,浦塚(魚崎ローイングクラブ),魚崎ローイングクラブ,E
51,1,医王会ローイングさくら,医王会ローイングクラブ,A
51,2,パルテA,パルテ会,A
51,3,ばらとDRCマスターズ刀根・大熊,ばらとDRCマスターズ,B
51,4,魚崎ローイングクラブ,魚崎ローイングクラブ,C
51,5,唐津ボートクラブ,唐津ボートクラブ,C
52,1,太田川ボートクラブ,太田川ボートクラブ,C
52,2,駿河伊豆RC,駿河・伊豆ローイングクラブ,F
52,3,茨水会,茨水会,F
52,4,キラーホエール,キラーホエール,F
52,5,レジェンド島根,レジェンド島根,F
53,2,中電漕友会,中電漕友会,C
53,3,E.R.C.C M8+ C,E.R.C.C,C
53,4,緑悠会麒麟,新潟大学漕艇部 緑悠会,C
53,5,キラーホエール,キラーホエール,C
54,1,ボート団塊号 青龍,ボート団塊号 (だんかいごう),I
54,2,ボート団塊号 春秋,ボート団塊号 (だんかいごう),I
54,3,日本ボートマンクラブ,日本ボートマンクラブ,I
54,4,WKマスターズ IMPULSE,WKマスターズ,I
54,5,ボート団塊号 紫電改,ボート団塊号 (だんかいごう),I
55,1,ヤマハ発動機シニア,ヤマハ発動機,H
55,2,瀬田漕艇クラブ,瀬田漕艇クラブ,H
55,3,ワイルドローバーローイングクラブ,ワイルドローバーローイングクラブ,H
55,4,小野湖ローイングクラブ,小野湖ローイングクラブ,H
55,5,パルテH,パルテ会,H
56,1,三菱 G4X+,三菱ボートクラブシニア,G
56,2,浜寺マスターズクラブW,浜寺マスターズクラブ,G
56,3,多摩川RC(G),多摩川ローイングを楽しむ会,G
56,4,浜寺マスターズクラブ65,浜寺マスターズクラブ,G
56,5,名古屋・君津連合,名古屋ローイングクラブ,G
57,3,野村(パルテ会),パルテ会,C
57,4,山田(東京漕艇倶楽部),東京漕艇倶楽部,C
58,1,ボート団塊号 宝剣,ボート団塊号 (だんかいごう),G
58,2,東京大学淡青会,淡青会マスターズ,G
58,3,諏訪マスターズ,諏訪マスターズ,G
58,4,碧水会,碧水会,G
58,5,立命館艇友会,パルテ会,G
58,6,宮ヶ瀬 大山,ボート団塊号 (だんかいごう),G
59,2,坂本(E.R.C.C),E.R.C.C,D
59,3,池之上(魚崎ローイングクラブ),魚崎ローイングクラブ,D
59,4,渡辺(九州照葉ローイングクラブ),九州照葉ローイングクラブ,D
60,1,瀬田漕艇クラブ MK,瀬田漕艇クラブ,G
60,2,瀬田漕艇クラブ AnKo,瀬田漕艇クラブ,G
60,3,瀬田漕艇クラブKN,瀬田漕艇クラブ,G
60,4,瀬田漕艇クラブ NK,瀬田漕艇クラブ,H
60,5,瀬田漕艇クラブ NO,瀬田漕艇クラブ,J
61,1,ちばるたん,ちばるたん,A
61,2,医王会ローイングはやて,医王会ローイングクラブ,A
61,3,黄門ローイングクラブ,黄門ローイングクラブ,B
61,4,E.R.C.C M4+ B,E.R.C.C,B
61,5,緑悠会八海,新潟大学漕艇部 緑悠会,B
62,2,稲垣(名古屋大学艇友会DE),名古屋大学艇友会DE,I
62,3,池田(ボート団塊号 (だんかいごう)),ボート団塊号 (だんかいごう),I
62,4,佐藤(ボート団塊号 (だんかいごう)),ボート団塊号 (だんかいごう),I
62,5,大谷(濃青会鶴見川),濃青会鶴見川,I
63,1,魚崎ローイングクラブ,魚崎ローイングクラブ,I
63,2,ボート団塊号 無限,ボート団塊号 (だんかいごう),I
63,3,TMRC はくたか,鶴見川マスターズローイングクラブ,I
63,4,諏訪湖游漕会,SUWAKO 游漕会,I
63,5,浜寺マスターズクラブ79,浜寺マスターズクラブ,I
64,2,WKマスターズ,WKマスターズ,F
64,3,人見・下田ペア,PENTA ROWING CLUB(Jr.),F
64,4,パルテF,パルテ会,F
64,5,魚崎ローイングクラブ,魚崎ローイングクラブ,F
65,2,恵那は、エーナー,恵那ローイング協会,F
65,3,佐鳴漕友会,佐鳴漕友会(静岡大学),F
65,4,愛知東郷ボートクラブ,愛知東郷ボートクラブ,F
65,5,E.R.C.C RC神戸混成 2X,E.R.C.C,F
66,2,畠山(瀬田漕艇クラブ),瀬田漕艇クラブ,B
66,3,土山(日本製鉄),日本製鉄,B
66,4,高橋(新潟大学漕艇部 緑悠会),新潟大学漕艇部 緑悠会,B
66,5,関川(日本製鉄),日本製鉄,B
67,1,ちばるたん,ちばるたん,A
67,2,緑悠会妙高,新潟大学漕艇部 緑悠会,A
67,3,黄門ローイングクラブ,黄門ローイングクラブ,B
67,4,E.R.C.C M2X B,E.R.C.C,B
67,5,日本製鉄,日本製鉄,B
68,1,染谷(ちばるたん),ちばるたん,A
68,2,中川(小野湖ローイングクラブ),小野湖ローイングクラブ,A
68,3,太田(多摩川ローイングを楽しむ会),多摩川ローイングを楽しむ会,B
68,4,岡(唐津ボートクラブ),唐津ボートクラブ,C
68,5,松原(魚崎ローイングクラブ),魚崎ローイングクラブ,D
68,6,土井(多摩川ローイングを楽しむ会),多摩川ローイングを楽しむ会,E
69,1,RC神戸 (神戸のJIIJII),RC神戸,H
69,2,浜寺マスターズクラブ74,浜寺マスターズクラブ,H
69,3,三菱 大井 鴨井,三菱ボートクラブシニア,H
69,4,医王会大江・四神会辰巳連合,医王会四神会連合,H
69,5,魚崎ローイングクラブ,魚崎ローイングクラブ,H
70,2,西川(魚崎ローイングクラブ),魚崎ローイングクラブ,I
70,3,杉原(三菱ボートクラブシニア),三菱ボートクラブシニア,I
70,4,太田(瀬田漕艇クラブ),瀬田漕艇クラブ,J
70,5,中西(瀬田漕艇クラブ),瀬田漕艇クラブ,K
71,1,E.R.C.C M4+ D,E.R.C.C,D
71,2,RCF フォア,レガッタクラブフレンドシップ,D
71,3,パルテD,パルテ会,D
71,4,魚崎ローイングクラブ,魚崎ローイングクラブ,D
71,5,香川大学OB,香川RC,D
72,2,カナニシ,PENTA ROWING CLUB(Jr.),F
72,3,浜寺マスターズクラブ60,浜寺マスターズクラブ,F
72,4,E.R.C.C MIX2X F,E.R.C.C,F
72,5,会津楽水会,会津楽水会,F
73,2,深井・雨森ペア,PENTA ROWING CLUB(Jr.),F
73,3,阪神連合,阪神連合,F
73,4,四神会パルテ会混成,パルテ会,F
74,2,愛知東郷ボートクラブ,愛知東郷ボートクラブ,A
74,3,医王会ローイングつばめ,医王会ローイングクラブ,A
74,4,多摩川RC(B),多摩川ローイングを楽しむ会,B
74,5,てしにこよ,浜寺マスターズクラブ,B
75,2,浜寺マスターズクラブ46,浜寺マスターズクラブ,C
75,3,魚崎ローイングクラブ,魚崎ローイングクラブ,C
75,4,宮崎大学医学部漕艇部,宮崎大学医学部漕艇部OB会,C
75,5,瀬田漕艇クラブ,瀬田漕艇クラブ,C
76,2,キューティ唐津BC,唐津ボートクラブ,D
76,3,黄門ローイングクラブ,黄門ローイングクラブ,D
76,4,キラーホエール,キラーホエール,D
76,5,愛知東郷ボートクラブ,愛知東郷ボートクラブ,D
77,2,諏訪マスターズ,諏訪マスターズ,G
77,3,瀬田漕艇クラブ KM,瀬田漕艇クラブ,G
77,4,瀬田漕艇クラブ MN,瀬田漕艇クラブ,G
77,5,RC神戸(神戸のJIIJII、BAABAA),RC神戸,G
78,2,ペンタラブラブ1号,PENTA ROWING CLUB(Jr.),H
78,3,三菱 MIXH4X+,三菱ボートクラブシニア,H
78,4,浜寺マスターズクラブ75,浜寺マスターズクラブ,I
79,2,RC神戸,RC神戸,E
79,3,Nittai Boat Club,Nittai Boat Club,E
79,4,多摩川RC(E),多摩川ローイングを楽しむ会,E
79,5,パルテE,パルテ会,E
80,2,ちばるたんB,ちばるたん,A
80,3,小野湖ローイングクラブ,小野湖ローイングクラブ,A
80,4,ばらとDRCマスターズ萩原夫婦,ばらとDRCマスターズ,A
80,5,ちばるたんA,ちばるたん,A
81,1,漕門会,漕門会,A
81,2,一橋四神会ミックス,四神会,A
81,3,医王会ローイングエイトC,医王会ローイングクラブ,A
81,4,TMRC こうはくC,鶴見川マスターズローイングクラブ,C
81,5,E.R.C.C MIX8+ C,E.R.C.C,C
82,1,TVBC エレガンス,TVBC,G
82,2,瀬田漕艇クラブ,瀬田漕艇クラブ,G
82,3,三菱 MIXH8+,三菱ボートクラブシニア,H
82,4,ばらとDRC&瀬田RC,ばらとDRCマスターズ,H
82,5,TMRC こうはくJ,鶴見川マスターズローイングクラブ,J
83,2,パルテC3,パルテ会,C
83,3,パルテC1,パルテ会,C
83,4,小森ファミリー,ボート団塊号 (だんかいごう),C
83,5,浜寺マスターズクラブ47,浜寺マスターズクラブ,C
84,1,RC神戸 チカムラブレード,RC神戸,D
84,2,多摩川RC(堤・太田),多摩川ローイングを楽しむ会,E
84,3,矢切ローイングクラブ,矢切ローイングクラブ,E
84,4,多摩川RC(W服部),多摩川ローイングを楽しむ会,E
84,5,瀬田漕艇クラブ,瀬田漕艇クラブ,E
85,3,浜寺マスターズクラブ60,浜寺マスターズクラブ,F
85,4,RC神戸(TKAM),RC神戸,F
86,2,魚崎ローイングクラブ,魚崎ローイングクラブ,C
86,3,浜寺マスターズクラブ49,浜寺マスターズクラブ,C
86,4,パルテC2,パルテ会,C
87,1,瀬田漕艇クラブ あきちゃん,瀬田漕艇クラブ,H
87,2,瀬田漕艇クラブ 尾崎ペア,瀬田漕艇クラブ,H
87,3,瀬田漕艇クラブ SK,瀬田漕艇クラブ,H
87,4,ばらとDRC・中川&瀬田RC・長瀬,瀬田漕艇クラブ,I
87,5,多摩川RC(本間・岡井),多摩川ローイングを楽しむ会,I
87,6,三菱 森 瀧島,三菱ボートクラブシニア,L
88,1,愛知東郷ボートクラブ,愛知東郷ボートクラブ,D
88,2,でん助・でん子,でん助・でん子,D
88,3,パルテD,パルテ会,D
88,4,NEXUS ROWING CLUB,NEXUS ROWING CLUB,D
88,5,キラーホエール,キラーホエール,D
89,2,インテック,インテック,E
89,3,PENTA WITH YOU,WITH YOU,F
89,4,TMRC こうはくF,鶴見川マスターズローイングクラブ,F
89,5,RC神戸 がんばろうKOBE,RC神戸,F
90,1,医王会ローイングナックルC,医王会ローイングクラブ,C
90,2,九州照葉ローイングクラブA,九州照葉ローイングクラブ,C
90,3,キャプテンブッケボートクラブ,キャプテンブッケボートクラブ,C
90,4,キラーホエール,キラーホエール,C
90,5,うのけボート部 雷神,うのけボート部,C
91,2,緑悠会弥彦,新潟大学漕艇部 緑悠会,A
91,3,湖亀,湖猿ローイングチーム,Aパラ
91,4,ちばるたん,ちばるたん,A
91,5,湖兎,湖猿ローイングチーム,Aパラ
92,2,E.R.C.C MKF B,E.R.C.C,B
92,3,浜松ボートクラブ佐鳴会B,浜松ボートクラブ佐鳴会,B
92,4,宮崎大学医学部漕艇部,宮崎大学医学部漕艇部OB会,B
92,5,黄門ローイングクラブ,黄門ローイングクラブ,B
93,1,NEXUS ROWING CLUB,NEXUS ROWING CLUB,D
93,2,勘八峡・昇龍ローイングクラブ,勘八峡・昇龍ローイングクラブ,D
93,3,香川大学OB,香川RC,D
93,4,うのけボート部 風神,うのけボート部,D
93,5,緑悠会阿賀野,新潟大学漕艇部 緑悠会,D
94,2,浜寺マスターズクラブ55,浜寺マスターズクラブ,E
94,3,E.R.C.C MIXKF E,E.R.C.C,E
94,4,RC神戸,RC神戸,E
94,5,でんすけ・でんこ,でん助・でん子,E
95,2,ペンタラブラブ2号,PENTA ROWING CLUB(Jr.),H
95,3,CPRCミックスB,CPRC,H
95,4,瀬田漕艇クラブ 愛クルー,瀬田漕艇クラブ,I
95,5,TMRC つた倶楽部,鶴見川マスターズローイングクラブ,K
96,2,ヤバセJ2,ヤバセJ1,F
96,3,RC神戸,RC神戸,F
96,4,茨水会,茨水会,F
96,5,RC神戸 旭水,RC神戸,F
97,1,パルテD,パルテ会,D
97,2,黄門ローイングクラブ,黄門ローイングクラブ,D
97,3,多摩川RC(D),多摩川ローイングを楽しむ会,D
97,4,キラーホエールB,キラーホエール,D
97,5,NEXUS ROWING CLUB,NEXUS ROWING CLUB,D
97,6,TMRC かがやき,鶴見川マスターズローイングクラブ,D
98,2,多摩川RC(G),多摩川ローイングを楽しむ会,G
98,3,RCF 混成,レガッタクラブフレンドシップ,G
98,4,TMRC きらめき,鶴見川マスターズローイングクラブ,G
98,5,浜寺マスターズクラブ65,浜寺マスターズクラブ,G
99,2,RC神戸 ケセラセラ,RC神戸,G
99,3,瀬田漕艇クラブ MOOO,瀬田漕艇クラブ,G
99,4,RC神戸 挑戦者,RC神戸,G
100,1,浜寺マスターズクラブ49,浜寺マスターズクラブ,C
100,2,愛知東郷ボートクラブ,愛知東郷ボートクラブ,C
100,3,キラーホエールA,キラーホエール,C
100,4,宮崎大学医学部漕艇部,宮崎大学医学部漕艇部OB会,C
100,5,レジェンド島根,レジェンド島根,C
100,6,E.R.C.C MIXKF C,E.R.C.C,C
101,2,WITH YOU やよい,WITH YOU,F
101,3,多摩川RC(F),多摩川ローイングを楽しむ会,F
101,4,CPRCミックスA,CPRC,F
102,3,医王会ローイングナックルD,医王会ローイングクラブ,A
103,1,浜寺マスターズクラブ65,浜寺マスターズクラブ,G
103,2,小野湖ローイングクラブ,小野湖ローイングクラブ,G
103,3,碧水会シクスティーズ,碧水会,G
103,4,ペンタ1号,PENTA ROWING CLUB(Jr.),G
103,5,緑悠会信濃,新潟大学漕艇部 緑悠会,G
103,6,足蹴り3本,ボート団塊号 (だんかいごう),G
104,1,セントポール・淡青会連合,ボート団塊号 (だんかいごう),G
104,2,諏訪マスターズ,諏訪マスターズ,G
104,3,桜艇会,学習院桜艇会,G
104,4,ワイルドローバー 66,ワイルドローバーローイングクラブ,G
104,5,佐鳴漕友会 富岳,佐鳴漕友会(静岡大学),G
105,1,医王会1981,金沢大1981,G
105,2,宮ヶ瀬 丹沢,ボート団塊号 (だんかいごう),G
105,3,WKマスターズ G,WKマスターズ,G
105,4,新貞山ローイングクラブ,新貞山ローイングクラブ,G
105,5,駿台艇友会,駿台艇友会,G
106,1,ヤングなおじいさん達,白門艇友会,I
106,2,碧水会セブンティーズ,碧水会,I
106,3,ボート団塊号 輝,ボート団塊号 (だんかいごう),I
106,4,WKマスターズ I,WKマスターズ,I
106,5,済水会,済水会,I
107,1,宮ヶ瀬 きび,ボート団塊号 (だんかいごう),I
107,2,小野湖ローイングクラブ,小野湖ローイングクラブ,I
107,3,愛知東郷ボートクラブ,愛知東郷ボートクラブ,I
107,4,ペンタ2号,PENTA ROWING CLUB(Jr.),I
107,5,TMRC あまこ,鶴見川マスターズローイングクラブ,I
108,2,ボート団塊号 蒼天,ボート団塊号 (だんかいごう),I
108,3,濃青会鶴見川石山,濃青会鶴見川,I
108,4,大阪工業大学重吹会 ぼちぼちいこか,大阪工業大学重吹会,I
108,5,ボート団塊号 日高,ボート団塊号 (だんかいごう),I
109,2,チームツバサシー,チームツバサ,C
109,3,E.R.C.C WKF C,E.R.C.C,C
109,4,うのけボート部 レディース,うのけボート部,C
110,2,御殿浜ローソンズLEMONS,御殿浜ローイングクラブ,D
110,3,チームツバサディ,チームツバサ,D
110,4,インテック,インテック,D
